bit per timeslot,pre_processing_time,loading_time,solving_time,post_processing_time
1,0.0,1.170908,5.998928,0.3991
2,0.0,4.137484,13.106078,0.0
3,0.0,3.985384,15.863060,0.16825
4,0.0,5.435199,17.419059,0.0
5,0.0,5.142405,15.387149,0.10980
6,0.0,4.887979,29.657132,0.12965
7,0.0,5.825470,46.916636,0.22357
8,0.0,6.3172,31.434903,0.31246
9,0.0,5.206706,28.453023,0.16834
10,0.0,6.796064,49.983568,0.39275
11,0.0,8.645271,64.648121,0.49708
12,0.0,9.184839,67.900773,0.24254
13,0.0,8.428387,88.702863,0.16551
14,0.0,8.80110,83.521736,0.33062
15,0.0,8.804300,143.561103,0.27925
16,0.0,8.919929,112.792011,0.30520
17,0.0,10.89268,161.804512,0.33215
18,0.365,10.126029,192.934856,0.53113
